date_time_start,date_time_end,latitude,longitude,rhi/ppi,constant angle,type
20220602 150000,20220603 060000,29.336,-95.689,ppi,0-30,all cells
20220604 170000,20220604 235959,29.123,-95.249,ppi,0-30,all cells
20220608 130000,20220608 235959,29.833,-94.748,ppi,0-30,all cells
20220609 130000,20220610 060000,29.833,-94.748,ppi,0-30,all cells
20220616 130000,20220617 060000,30.070,-93.292,ppi,0-30,all cells
20220617 120000,20220618 030000,29.833,-94.748,ppi,0-30,all cells
20220620 160000,20220621 000000,29.335,-95.690,ppi,0-30,all cells
20220621 170000,20220622 000000,29.833,-94.748,ppi,0-30,all cells
20220622 170000,20220623 000000,29.833,-94.748,ppi,0-30,all cells
20220626 180000,20220627 000000,29.995,-94.440,ppi,0-30,all cells

